"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","45.59","4235657666.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","111.07","76659916443.4","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"SVN","7 Days Group Holdings Limited","13.6","666174008.8","n/a","2009","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/svn",
"AHC","A.H. Belo Corporation","6.09","134337434.28","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AIR","AAR Corp.","19.04","756523840.8","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","28.65","2171854133.55","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","22.03","50589633752.68","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","36.83","57412985354.14","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","46.21","73184122357.94","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","53.32","4167864066.76","n/a","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"ABM","ABM Industries Incorporated","22.8","1245969087.6","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","28.58","1574055503.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","80.61","54974275922.04","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACMP","Access Midstream Partmers, L.P.","43","8600883134","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/acmp",
"ACCO","Acco Brands Corporation","7.04","796879121.28","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"AH","Accretive Health, Inc.","10.87","1057290529.06","n/a","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ah",
"ACW","Accuride Corporation New","5.5","261115635","n/a","2005","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","92.11","31333345898.98","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
